feature_name,num_sources,num_numeric_sources,num_discrete_sources,discretizer_in_use,normalizer_in_use,group_in_use,binary_in_use,max_discrete_source_value,min_discrete_source_value,avg_discrete_source_value,std_discrete_source_value,max_chi_source_opattr_value,min_chi_source_opattr_value,avg_chi_source_opattr_value,std_chi_source_opattr_value,max_numeric_source_value,min_numeric_source_value,avg_numeric_source_value,std_numeric_source_value,max_ttest_source_opattr_value,min_ttest_source_opattr_value,avg_ttest_source_opattr_value,std_ttest_source_opattr_value,cp_data_group_2_avg_t,cp_data_group_2_std_t,cp_data_group_2_max_t,cp_data_group_2_min_t,feat_mutual_info
hospital_number_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,-10.308658985267918,-10.308658985267918,-10.308658985267918,0.0,7.29333163290167,5.027301621916443,10.510390346876676,-21.86993505004735,0.005339555162183435
rectal_temp_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35400.0,35.4,6975.181339712919,14042.194710733414,-7.162927691758123,-7.162927691758123,-7.162927691758123,0.0,8.121001054003605,5.327563821951198,10.786377676859612,-21.552476584649607,0.01611195614143058
hospital_number_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,-10.30865991418733,-10.30865991418733,-10.30865991418733,0.0,-5.756680277519984,5.634255305262299,5.51996687683753,-22.47716109119994,0.005339555162183435
rectal_temp_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35400.0,35.4,6975.181339712919,14042.194710733414,-7.163944982484436,-7.163944982484436,-7.163944982484436,0.0,-3.9557245849039657,5.869606630582988,7.127585958259723,-22.733446218550586,0.01611195614143058
abdomo_protein_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.1,69.91196172248804,44.79738971033669,-22.507990759471014,-22.507990759471014,-22.507990759471014,0.0,7.5455751152115,6.87241830295833,22.475470937814894,-10.308652683509056,0.014876418223069572
lesion_1_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41110.0,0.0,3476.468899521531,5361.325361941072,-9.351856885061412,-9.351856885061412,-9.351856885061412,0.0,-7.8868033302449385,7.246253432604986,9.351856885061412,-40.184866296476955,0.0730246962301949
hospital_number_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,5305629.0,521399.0,1122420.1531100478,1570308.3975158082,-3.035280424010546e-14,-3.035280424010546e-14,-3.035280424010546e-14,0.0,10.306942139871824,0.010245048295425148,10.308701707838111,10.233876211753369,0.005339555162183435
rectal_temp_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,417.99999999999994,417.99999999999994,417.99999999999994,0.0,35400.0,35.4,6975.181339712919,14042.194710733414,1.5835583023653092e-15,1.5835583023653092e-15,1.5835583023653092e-15,0.0,60.73449781636905,11.429890003110845,62.83923528901013,-10.234237323891714,0.010262337937876995
abdomo_protein_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,418.0,418.0,418.0,0.0,100.0,0.1,69.91196172248804,44.79738971033669,5.926337995699799e-16,5.926337995699799e-16,5.926337995699799e-16,0.0,282.78627770079277,76.61998448295786,323.57549695038784,-10.308035707551362,0.010262337937876995
lesion_2_group_by_hospital_number_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,2.124401913875598,2.9838204454868644,209.0,209.0,209.0,0.0,3111.0,0.0,14.885167464114833,214.6769381429372,0.0,0.0,0.0,0.0,34.090899475043734,12.019542059713803,38.262252939417984,-17.440623836710706,0.005339555162183435
