feature_name,num_sources,num_numeric_sources,num_discrete_sources,discretizer_in_use,normalizer_in_use,group_in_use,binary_in_use,max_discrete_source_value,min_discrete_source_value,avg_discrete_source_value,std_discrete_source_value,max_chi_source_opattr_value,min_chi_source_opattr_value,avg_chi_source_opattr_value,std_chi_source_opattr_value,max_numeric_source_value,min_numeric_source_value,avg_numeric_source_value,std_numeric_source_value,max_ttest_source_opattr_value,min_ttest_source_opattr_value,avg_ttest_source_opattr_value,std_ttest_source_opattr_value,tau2_avg_t,tau2_std_t,tau2_max_t,tau2_min_t,feat_mutual_info
theta1_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8847349999999998,-1.884729,0.014966808161841648,1.0806832349318438,235.76321665623254,235.76321665623254,235.76321665623254,0.0,140.05481582669233,3.9477577943363324,146.56691526296314,136.27877674101578,0.002283815428829416
theta2_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8833060000000001,-1.8834830000000002,0.019110278165329616,1.0942143680075167,231.58286891157871,231.58286891157871,231.58286891157871,0.0,138.43693605621783,3.7162398838392328,144.2761915562051,135.01525963769527,0.15586600501376016
theta3_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8847369999999999,-1.8844490000000003,0.005012923787931634,1.0823315343355062,233.20562073809234,233.20562073809234,233.20562073809234,0.0,138.71399849681077,3.8397690444483144,145.01241637012768,135.83222768053918,0.09373584210477287
thetad1_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884923,-1.8846319999999999,-0.018445002267178236,1.0922857197923568,230.06628315572678,230.06628315572678,230.06628315572678,0.0,136.30211608267686,3.783544442582849,142.36897694496568,133.26438034600815,0.0019267611261684556
thetad2_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8823869999999998,-1.884785,-0.023741322462504356,1.09232381616856,229.7860202957258,229.7860202957258,229.7860202957258,0.0,135.8881816573752,3.9480071817219224,142.16094698953043,132.9870193246273,0.000951175813966999
thetad3_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8847459999999998,-1.883916,0.0109071346355075,1.0891419700284863,231.4265471147735,231.4265471147735,231.4265471147735,0.0,138.23945280591053,3.5981639262694887,143.9130383160965,135.39093912302738,0.0015749565957381263
tau1_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599955,-0.599783,0.004016043948378096,0.34566318340530405,166.4499466952374,166.4499466952374,166.4499466952374,0.0,138.2461427398885,2.986686738961124,145.3078307274763,135.89660858149196,0.0014306382682329653
tau2_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599912,-0.599707,-0.004202044645971399,0.3469381386387554,163.2663913439521,163.2663913439521,163.2663913439521,0.0,135.65052442319308,2.7343126392223565,142.2039702972728,133.60549195064056,0.0015755542589295701
theta1_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8847349999999998,-1.884729,0.014966808161841648,1.0806832349318438,46.632414144710935,46.632414144710935,46.632414144710935,0.0,48.444967077730624,22.953138369418078,85.85227961501454,32.331100080996535,0.002283815428829416
theta2_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8833060000000001,-1.8834830000000002,0.019110278165329616,1.0942143680075167,45.7834046012809,45.7834046012809,45.7834046012809,0.0,48.66038978653362,22.95113416382065,85.3432758810199,33.03323904335686,0.15586600501376016
theta3_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8847369999999999,-1.8844490000000003,0.005012923787931634,1.0823315343355062,47.25544587797168,47.25544587797168,47.25544587797168,0.0,48.15392894824093,22.94206832190708,85.33077417627761,32.36524784244786,0.09373584210477287
thetad1_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884923,-1.8846319999999999,-0.018445002267178236,1.0922857197923568,48.44918337398902,48.44918337398902,48.44918337398902,0.0,47.37610356241691,22.803647383037276,84.03893920141466,31.825375896496794,0.0019267611261684556
thetad2_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8823869999999998,-1.884785,-0.023741322462504356,1.09232381616856,48.85907150032225,48.85907150032225,48.85907150032225,0.0,47.270311242398506,22.916002699441048,83.93259002674098,31.86178277978109,0.000951175813966999
thetad3_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8847459999999998,-1.883916,0.0109071346355075,1.0891419700284863,46.54576412752473,46.54576412752473,46.54576412752473,0.0,48.29190058620137,22.772566479757845,84.51947308410482,32.42384113214498,0.0015749565957381263
tau1_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599955,-0.599783,0.004016043948378096,0.34566318340530405,656.8861145128355,656.8861145128355,656.8861145128355,0.0,41.03106402130758,17.79239434114987,84.54042586078205,32.48997564836331,0.0014306382682329653
tau2_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599912,-0.599707,-0.004202044645971399,0.3469381386387554,656.5732592149726,656.5732592149726,656.5732592149726,0.0,40.29098449823696,17.089766983618595,82.0781123670875,31.954230434953082,0.0015755542589295701
theta1_group_by_theta1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.537495640041856,2.845376941680937,57340.0,57340.0,57340.0,0.0,1.8847349999999998,-1.884729,0.014966808161841648,1.0806832349318438,2.703862605048027e-13,2.703862605048027e-13,2.703862605048027e-13,0.0,0.8676802154867129,0.7198178498121954,1.9114464322315814,-0.2027834006083283,0.002283815428829416
theta2_group_by_theta1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.537495640041856,2.845376941680937,57340.00000000001,57340.00000000001,57340.00000000001,0.0,1.8833060000000001,-1.8834830000000002,0.019110278165329616,1.0942143680075167,-1.4154925586723846e-15,-1.4154925586723846e-15,-1.4154925586723846e-15,0.0,2.2531888255303376,1.601377574170397,5.067937884567325,0.2852935492763059,0.00017849061145413744
theta3_group_by_theta1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.537495640041856,2.845376941680937,57340.0,57340.0,57340.0,0.0,1.8847369999999999,-1.8844490000000003,0.005012923787931634,1.0823315343355062,-1.9522538562675605e-15,-1.9522538562675605e-15,-1.9522538562675605e-15,0.0,0.5346452190079639,1.2070799900329534,1.9900584253757467,-0.9741743949173017,0.0005157326925871929
thetad1_group_by_theta1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.537495640041856,2.845376941680937,57340.0,57340.0,57340.0,0.0,1.884923,-1.8846319999999999,-0.018445002267178236,1.0922857197923568,-1.1606907585861871e-15,-1.1606907585861871e-15,-1.1606907585861871e-15,0.0,-2.317031059535797,1.4640648615879903,0.3669935424142867,-4.884205742633494,0.00026289889187021447
thetad2_group_by_theta1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.537495640041856,2.845376941680937,57340.0,57340.0,57340.0,0.0,1.8823869999999998,-1.884785,-0.023741322462504356,1.09232381616856,4.943113561360604e-16,4.943113561360604e-16,4.943113561360604e-16,0.0,-2.962721975085977,1.6541856116472364,-0.36703570878448033,-6.045197868482175,0.00017849061145413744
thetad3_group_by_theta1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.537495640041856,2.845376941680937,57340.0,57340.0,57340.0,0.0,1.8847459999999998,-1.883916,0.0109071346355075,1.0891419700284863,6.680965900165695e-16,6.680965900165695e-16,6.680965900165695e-16,0.0,1.2527609749508224,1.336095936181749,3.2803903295017007,-0.5671857042406386,0.0017813705528631693
